id,name,listeners,alive,management,nationality,band,Mainact
brma,Bruno Mars,135.300.000,1,Gorilla Management,USA,2,NA
jubi,Justin Bieber,130.800.000,1,Bieber Family Office,Kanada,2,NA
thwe,The Weeknd,113.400.000,1,SALXCO,Kanada,2,NA
mija,Michael Jackson,111.700.000,2,99,USA,2,NA
riha,Rihanna,110.100.000,1,Roc Nation,Barbados,2,NA
tasw,Taylor Swift,102.000.000,1,13 Management,USA,2,NA
laga,Lady Gaga,101.300.000,1,Artist Nation,USA,2,NA
babu,Bad Bunny,100.100.000,1,Rimas Entertainment,Puerto Rico,2,NA
drak,Drake,96.900.000,1,AAE Music,Kanada,2,NA
cold,Coldplay,93.800.000,1,PRG,UK,1,NA
shak,Shakira,93.500.000,1,Roc Nation,Kolumbien,2,NA
argr,Ariana Grande,92.000.000,1,Good World Management,USA,2,NA
dagu,David Guetta,89.100.000,1,MAK Management,Frankreich,2,NA
pibu,Pitbull,88.800.000,1,Mr 305,USA,2,NA
kape,Katy Perry,87.900.000,1,Direct Management,USA,2,NA
maro,Maroon5,NA,NA,NA,NA,NA,ja 
gwst,Gwen Stefani,NA,NA,NA,NA,NA,NA
rafl,Rascal Flats,NA,NA,NA,NA,NA,NA
gest,George Strait,NA,NA,NA,NA,NA,NA
brpa,Brad Paisly,NA,NA,NA,NA,NA,NA
timc,Tim McGraw,NA,NA,NA,NA,NA,NA
fahi,Faith Hill,NA,NA,NA,NA,NA,NA
keur,Keith Urban,NA,NA,NA,NA,NA,NA
embr,Embrace,NA,NA,NA,NA,NA,NA
jubi,Justin Bieber,NA,NA,NA,NA,NA,NA
neki,New Kids on the Block,NA,NA,NA,NA,NA,NA
thpu,The Pussycat Dolls,NA,NA,NA,NA,NA,NA
tath,Take That,NA,NA,NA,NA,NA,NA
enig,Enrique Iglesias,NA,NA,NA,NA,NA,NA
brsp,Britney Spears,NA,NA,NA,NA,NA,NA
nodo,no doubt,NA,NA,NA,NA,NA,NA
kawe,Kanye West,NA,NA,NA,NA,NA,NA
